Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category,Sleep_Debt,Digital_Overload,Academic_Pressure,Lifestyle_Balance,Burnout_Risk_Score,Burnout_Label,Burnout_Label_v2
14,18.0,1,3.6,5.3,7.1,3.1,63.4,79.6,6.9,0.9,1.7,8.3,2,0,2.2,5.2,4.51,43.24,1,0.7000000000000002,10.2,0.7344000000000003,5.428571428571429,0.9030285714285712,0,0
15,18.0,0,1.3,9.2,5.6,2.1,74.3,36.1,6.7,2.5,6.5,5.1,2,0,3.6,6.0,4.86,38.72,1,0.0,7.699999999999999,0.8307,9.557142857142855,-5.971092857142857,0,1
16,18.0,1,5.3,8.2,5.7,5.0,67.4,60.3,5.5,2.1,5.2,7.0,0,0,7.5,5.2,5.21,57.69,2,0.0,10.7,2.1041,8.5,0.7461500000000001,0,0
17,19.0,1,1.8,8.2,7.3,2.0,84.5,69.9,3.5,3.3,7.6,8.7,1,0,2.4,7.3,6.67,50.93,2,0.0,9.3,0.5418,8.67142857142857,-6.11872857142857,0,1
18,20.0,1,1.9,7.5,12.1,3.2,91.7,90.5,7.1,2.1,1.3,3.0,0,0,3.9,2.6,8.0,58.22,2,0.0,15.3,0.1804999999999999,7.8,0.1407499999999997,0,1
19,20.0,1,6.6,7.8,3.5,7.0,85.3,52.6,7.9,2.3,7.5,3.6,2,0,6.4,6.6,6.02,49.07,2,0.0,10.5,3.1284,8.128571428571428,5.294028571428572,1,1
20,19.0,1,1.8,5.4,6.1,1.3,100.0,77.7,6.7,3.0,9.0,4.6,0,0,3.8,10.2,6.44,46.8,2,0.5999999999999996,7.399999999999999,0.4014,5.828571428571429,-1.18647142857143,0,1
21,21.0,1,0.0,7.1,3.0,4.0,92.2,73.5,5.5,0.9,6.0,5.8,1,0,3.7,4.3,6.5,50.89,2,0.0,7.0,0.0,7.228571428571429,-6.628571428571428,0,1
22,17.0,1,5.4,5.8,5.9,3.5,91.7,93.3,5.2,2.1,8.1,7.5,0,0,5.1,4.7,5.84,60.43,2,0.2000000000000001,9.4,0.3618000000000003,6.1,0.112700000000002,0,1
23,19.0,0,3.6,5.2,4.3,4.0,78.9,57.1,4.0,1.3,7.2,2.8,0,0,6.0,8.3,7.11,29.06,1,0.7999999999999998,8.3,1.5443999999999998,5.385714285714286,4.160885714285714,1,1
24,19.0,1,3.8,7.5,5.7,2.5,76.0,78.0,6.5,4.7,1.0,3.3,1,1,0.4,0.6,7.67,66.59,0,0.0,8.2,0.8359999999999999,8.17142857142857,-1.4274285714285724,0,1
25,20.0,0,3.6,8.5,6.4,1.9,96.6,100.0,6.4,1.5,5.9,6.0,0,0,6.4,10.1,8.43,70.84,0,0.0,8.3,0.0,8.714285714285714,-4.684285714285712,0,0
26,22.0,1,4.7,6.5,4.8,3.4,76.7,91.2,7.8,1.4,6.2,2.8,0,0,4.5,9.1,5.36,51.48,2,0.0,8.2,0.4135999999999998,6.7,0.3803999999999994,0,1
27,18.0,0,2.7,6.7,1.5,2.2,80.5,85.8,4.6,3.8,3.2,4.5,1,1,0.2,4.8,8.23,68.39,0,0.0,3.7,0.3834000000000001,7.242857142857143,-4.907757142857142,0,0
28,20.0,0,7.2,5.5,9.6,0.0,77.8,69.4,6.3,1.9,6.2,6.0,0,1,5.3,2.4,6.48,35.75,1,0.5,9.6,2.2032,5.771428571428571,6.093371428571427,0,1
29,21.0,0,1.2,7.0,8.1,1.5,87.0,77.7,3.1,2.1,1.9,5.2,1,0,6.6,0.3,3.85,52.83,2,0.0,9.6,0.2675999999999999,7.3,-3.7386,0,0
30,16.0,0,5.1,8.0,5.7,2.4,91.6,73.0,5.3,1.0,5.6,9.4,2,0,3.9,9.9,5.47,68.86,0,0.0,8.1,1.377,8.142857142857142,-2.6473571428571434,0,0
31,21.0,1,5.5,8.0,3.8,1.1,93.8,90.4,4.8,2.3,6.5,4.5,0,0,5.1,0.7,5.05,65.74,0,0.0,4.9,0.5279999999999998,8.32857142857143,-2.936571428571429,0,1
32,18.0,1,2.7,7.7,6.2,3.3,76.1,84.5,8.3,2.2,10.0,3.8,2,0,4.9,1.9,6.33,51.25,2,0.0,9.5,0.4185000000000001,8.014285714285714,-2.376535714285714,1,1
33,16.0,0,2.2,6.2,6.9,1.6,82.4,63.7,9.8,2.1,3.5,4.7,2,0,7.1,1.6,6.83,47.08,2,0.0,8.5,0.7986000000000001,6.5,-1.6420999999999997,0,0
34,24.0,0,6.2,6.2,7.9,2.9,84.3,100.0,3.4,3.4,7.1,4.4,0,0,5.8,4.0,7.76,49.79,2,0.0,10.8,0.0,6.685714285714286,1.474285714285715,0,1
35,25.0,0,2.2,8.0,8.2,6.9,99.0,96.7,8.0,1.2,2.8,7.4,0,0,3.3,8.8,7.75,75.78,0,0.0,15.1,0.0725999999999998,8.17142857142857,-2.452528571428572,0,0
36,23.0,1,3.0,8.1,8.6,5.2,56.8,59.4,7.5,5.4,8.0,7.0,0,0,0.5,3.0,6.55,38.14,1,0.0,13.8,1.218,8.871428571428572,-1.2444285714285712,0,1
37,19.0,0,6.0,6.8,1.6,4.1,80.1,68.8,4.8,5.8,5.4,4.5,2,0,1.8,14.4,3.2,54.96,2,0.0,5.699999999999999,1.8720000000000003,7.628571428571428,0.5794285714285738,0,0
38,20.0,1,4.3,6.4,5.2,6.3,71.6,72.1,4.3,6.2,6.8,5.7,0,0,6.0,7.3,5.1,55.33,2,0.0,11.5,1.1997,7.2857142857142865,0.8538357142857129,0,1
39,22.0,0,0.6,8.5,8.5,2.9,73.1,89.7,4.3,2.7,3.5,4.5,1,0,5.9,1.4,7.27,45.9,1,0.0,11.4,0.0617999999999999,8.885714285714286,-4.863014285714286,0,0
40,20.0,1,7.7,6.5,3.7,2.9,68.9,60.4,5.2,2.9,6.7,6.4,0,1,1.2,2.2,5.87,56.57,2,0.0,6.6,3.0492000000000004,6.914285714285715,3.9195142857142846,0,1
41,17.0,0,3.1,8.0,9.0,1.1,87.0,63.0,5.2,2.2,4.2,8.4,0,0,2.1,3.7,4.89,59.13,2,0.0,10.1,1.147,8.314285714285715,-3.2637857142857145,0,0
42,20.0,1,3.4,6.8,10.5,5.3,48.1,90.8,5.7,4.1,5.2,8.3,1,1,3.1,6.8,3.39,43.07,1,0.0,15.8,0.3128000000000002,7.385714285714285,-0.4465142857142838,0,0
43,16.0,1,4.7,5.6,9.0,6.5,78.2,85.1,4.9,4.7,3.1,6.9,1,1,7.5,3.6,6.97,53.16,2,0.4000000000000003,15.5,0.7003000000000001,6.271428571428571,3.6390214285714286,0,0
44,24.0,0,5.5,9.1,7.7,4.6,56.3,39.9,7.8,4.0,4.7,4.7,1,0,2.6,19.8,6.68,38.64,1,0.0,12.3,3.3055,9.67142857142857,3.4868214285714294,0,1
45,18.0,0,8.1,7.2,4.9,5.6,71.0,86.8,7.1,0.6,6.1,4.4,0,1,1.1,2.5,7.99,45.5,1,0.0,10.5,1.0692,7.285714285714286,3.8480857142857134,0,1
46,21.0,0,0.9,6.1,6.7,0.0,77.2,48.5,5.6,3.4,5.5,2.9,0,1,7.7,2.5,8.85,40.12,1,0.0,6.7,0.4635,6.585714285714285,-3.2704642857142856,0,1
47,19.0,1,5.9,5.2,2.6,7.2,74.7,63.6,4.8,2.9,5.6,5.8,0,0,3.8,4.2,6.5,37.31,1,0.7999999999999998,9.8,2.1476,5.614285714285715,5.927114285714284,0,1
48,20.0,1,5.7,5.3,4.0,2.8,88.9,68.4,4.8,4.6,4.2,4.5,0,0,3.5,2.1,8.44,55.48,2,0.7000000000000002,6.8,1.8011999999999997,5.957142857142857,3.854657142857144,0,0
49,20.0,0,3.9,6.5,4.2,7.2,96.2,66.6,7.0,3.4,9.0,8.2,0,0,2.7,12.2,3.85,46.75,2,0.0,11.4,1.3026000000000002,6.985714285714286,-0.3118142857142842,0,1
50,18.0,2,5.8,9.5,6.2,6.1,100.0,63.3,6.1,5.9,4.7,2.9,0,0,2.2,1.9,7.41,51.79,2,0.0,12.3,2.1286,10.342857142857143,2.190042857142857,0,1
51,25.0,0,6.1,6.2,5.0,4.4,79.9,56.3,6.4,3.9,9.1,7.6,0,0,4.9,3.9,8.82,51.07,2,0.0,9.4,2.6657,6.757142857142857,3.021407142857143,0,1
52,20.0,1,1.4,8.9,6.7,2.4,95.1,84.2,7.9,3.9,6.2,2.8,2,1,3.4,7.4,4.76,52.12,2,0.0,9.1,0.2211999999999998,9.457142857142856,-4.855342857142858,0,1
53,24.0,0,7.7,6.8,8.2,3.3,99.0,46.0,5.9,0.4,10.0,3.7,1,1,1.7,6.6,7.26,41.02,1,0.0,11.5,4.158,6.857142857142857,9.43985714285714,1,1
54,24.0,1,1.1,5.5,4.2,0.0,73.8,65.4,9.0,1.1,5.8,4.3,1,0,1.9,2.3,5.45,41.12,1,0.5,4.2,0.3806,5.6571428571428575,-3.256242857142857,0,0
55,21.0,0,1.9,6.4,6.4,4.7,96.0,89.2,1.6,2.3,2.1,4.1,1,1,6.2,6.0,5.56,52.04,2,0.0,11.1,0.2051999999999999,6.728571428571429,-1.400771428571428,0,0
56,24.0,1,3.7,5.3,5.0,0.0,51.7,82.2,3.1,2.1,5.0,8.4,0,1,6.5,4.9,7.86,45.84,1,0.7000000000000002,5.0,0.6585999999999997,5.6,-1.9520999999999988,0,0
57,17.0,1,8.0,5.9,6.5,2.5,83.9,50.1,10.0,1.1,5.5,5.9,1,0,3.1,0.4,6.65,46.75,2,0.0999999999999996,9.0,3.992,6.057142857142858,8.080857142857145,0,0
58,18.0,0,3.6,5.8,7.7,5.8,100.0,40.3,5.1,5.4,9.1,8.5,2,1,4.1,2.9,4.58,38.94,1,0.2000000000000001,13.5,2.1492,6.571428571428571,2.432371428571429,0,1
59,16.0,0,4.1,4.5,8.3,4.3,81.3,55.4,6.7,3.7,1.6,6.1,0,1,5.1,3.9,7.49,45.42,1,1.5,12.6,1.8286,5.0285714285714285,7.244328571428572,0,0
60,19.0,1,7.1,9.0,7.7,0.2,77.5,35.8,8.8,1.2,3.5,4.3,2,0,3.9,1.1,7.63,47.08,2,0.0,7.9,4.5582,9.17142857142857,5.14587142857143,0,0
61,19.0,1,3.6,7.3,7.0,0.6,77.5,76.7,6.8,0.7,6.0,2.9,0,0,3.3,0.7,7.91,47.43,2,0.0,7.6,0.8388,7.399999999999999,-0.9117999999999992,0,1
62,18.0,1,1.8,6.1,2.4,1.9,99.1,66.7,8.0,2.8,6.2,5.2,2,0,4.0,13.2,5.51,56.61,2,0.0,4.3,0.5993999999999999,6.5,-4.610900000000001,0,1
63,23.0,0,3.4,7.3,3.3,3.1,59.3,68.1,7.4,4.0,8.3,4.6,0,0,6.5,5.3,4.39,60.96,2,0.0,6.4,1.0846000000000002,7.871428571428571,-2.62452857142857,0,1
64,19.0,1,6.9,5.9,3.9,4.6,74.9,84.2,8.2,4.2,1.2,7.1,0,0,2.8,5.6,6.48,69.3,0,0.0999999999999996,8.5,1.0901999999999994,6.5,1.5553,0,0
65,18.0,1,4.3,3.5,6.9,4.1,91.0,90.7,7.1,3.6,3.9,8.2,0,1,3.4,5.2,5.04,50.62,2,2.5,11.0,0.3998999999999998,4.014285714285714,6.425564285714286,0,0
66,20.0,0,8.1,10.0,2.8,1.1,84.1,79.3,7.6,5.7,7.4,9.1,0,1,7.5,1.8,7.9,76.22,0,0.0,3.9,1.6767000000000003,10.814285714285717,-4.419235714285713,0,1
67,17.0,0,5.7,7.2,6.8,4.1,95.4,71.0,4.7,0.9,5.4,7.0,1,1,5.3,4.1,7.32,64.24,0,0.0,10.9,1.6530000000000002,7.328571428571429,1.6609285714285704,0,0
68,23.0,0,2.9,6.2,6.7,4.3,88.9,62.4,7.2,2.8,7.1,3.9,2,0,6.9,5.3,6.86,48.7,2,0.0,11.0,1.0904,6.6000000000000005,0.9056,1,1
69,17.0,0,4.3,4.5,1.2,3.9,73.9,68.7,5.9,3.6,5.2,7.5,1,0,4.4,6.4,8.88,56.38,2,1.5,5.1,1.3458999999999997,5.014285714285714,2.2445642857142847,0,0
70,25.0,0,2.5,5.1,3.3,7.5,87.6,78.7,5.8,0.4,7.8,7.5,1,0,6.4,8.6,6.78,33.05,1,0.9000000000000004,10.8,0.5325,5.157142857142857,1.0916071428571446,0,1
71,22.0,0,2.9,9.2,8.6,4.3,62.8,91.7,2.3,1.2,4.0,4.2,0,1,10.0,15.2,8.8,57.98,2,0.0,12.9,0.2406999999999999,9.37142857142857,-2.340378571428572,0,0
72,18.0,0,12.0,9.0,7.7,4.7,53.8,50.0,5.1,3.0,4.9,6.5,1,0,5.2,4.2,9.05,31.26,1,0.0,12.4,6.0,9.428571428571429,12.121428571428572,0,1
73,16.0,0,6.2,8.0,3.9,6.4,72.1,54.7,5.7,5.0,5.4,4.8,1,1,1.1,11.3,7.23,52.35,2,0.0,10.3,2.8086,8.714285714285714,3.208614285714287,0,0
74,23.0,1,5.9,5.6,3.4,4.5,81.0,74.9,9.4,0.9,3.9,4.1,0,0,1.9,3.5,7.15,50.36,2,0.4000000000000003,7.9,1.4808999999999994,5.728571428571429,3.912778571428571,0,0
75,22.0,2,3.0,9.0,1.0,2.0,69.4,37.0,5.4,1.4,5.8,8.1,0,0,4.3,3.1,6.8,53.23,2,0.0,3.0,1.89,9.2,-6.514999999999999,0,0
76,20.0,1,7.3,7.6,9.7,5.2,82.3,80.1,6.6,1.8,4.5,6.3,2,0,3.9,2.6,5.83,52.68,2,0.0,14.9,1.4527000000000003,7.857142857142857,4.461907142857143,0,0
77,22.0,1,6.4,7.9,6.1,2.3,80.8,94.0,9.0,2.4,5.6,8.2,0,0,5.9,1.6,5.23,72.11,0,0.0,8.399999999999999,0.3840000000000003,8.242857142857144,-2.4468571428571426,0,0
78,17.0,1,8.0,7.6,10.7,1.2,55.8,100.0,3.3,2.8,6.1,5.6,0,1,0.1,11.7,7.17,46.79,2,0.0,11.9,0.0,8.0,1.5499999999999998,0,1
79,19.0,1,7.9,5.0,5.5,1.4,73.0,76.5,5.2,3.7,3.9,4.6,0,0,1.3,4.4,9.31,51.17,2,1.0,6.9,1.8565,5.5285714285714285,6.726178571428572,0,0
80,17.0,2,1.2,5.4,6.7,5.2,92.2,90.5,7.9,5.9,6.7,1.8,0,1,4.0,1.2,6.29,46.5,1,0.5999999999999996,11.9,0.1139999999999999,6.242857142857143,1.138142857142856,0,1
81,23.0,0,2.0,6.3,8.2,4.1,86.3,75.4,10.0,0.7,6.0,9.8,0,0,3.8,7.7,7.76,67.26,0,0.0,12.3,0.492,6.4,-2.8120000000000003,0,1
82,21.0,0,2.2,7.8,10.1,4.9,70.9,74.9,1.6,1.6,4.2,8.4,0,1,1.1,3.4,8.8,58.14,2,0.0,15.0,0.5521999999999998,8.028571428571428,-2.1402714285714284,0,0
83,19.0,0,2.3,5.2,7.3,4.1,88.0,67.4,5.7,3.5,7.4,4.1,0,1,8.7,4.4,6.41,32.17,1,0.7999999999999998,11.4,0.7497999999999998,5.7,2.5146999999999977,0,1
84,16.0,0,4.8,6.8,6.0,3.3,100.0,80.9,7.4,3.2,5.8,1.0,2,1,5.2,8.4,5.58,51.83,2,0.0,9.3,0.9167999999999996,7.257142857142857,2.108057142857142,0,1
85,19.0,1,3.1,6.8,6.1,3.6,74.5,85.9,7.9,3.1,7.9,8.3,0,1,3.3,10.1,7.18,48.79,2,0.0,9.7,0.4370999999999997,7.242857142857143,-3.4072071428571435,0,1
86,19.0,0,8.3,8.0,3.4,4.1,89.6,82.0,10.0,5.9,8.6,6.7,2,0,6.1,1.8,7.51,86.79,0,0.0,7.5,1.4940000000000004,8.842857142857143,0.4381428571428567,0,1
87,22.0,0,8.0,7.9,5.0,1.9,87.6,61.1,4.6,1.8,3.1,7.8,0,0,2.3,4.1,9.77,63.53,0,0.0,6.9,3.112,8.157142857142858,2.4608571428571424,0,0
88,21.0,1,4.2,5.7,6.1,0.7,73.8,50.3,5.5,4.9,9.2,1.6,1,0,9.5,4.9,7.1,40.84,1,0.2999999999999998,6.8,2.0874,6.4,3.2910999999999992,1,1
89,24.0,0,8.1,8.9,9.5,2.1,65.3,93.4,2.4,5.3,6.7,3.2,0,0,2.3,1.6,4.01,33.06,1,0.0,11.6,0.5345999999999995,9.657142857142858,1.8247571428571407,0,1
90,20.0,1,7.2,5.5,4.9,4.0,100.0,79.5,6.3,2.7,6.2,6.0,1,0,3.2,2.3,4.19,53.0,2,0.5,8.9,1.4759999999999998,5.885714285714286,4.538285714285713,0,1
91,17.0,1,3.3,8.4,8.7,1.8,94.2,76.4,7.1,10.9,5.6,4.5,0,0,8.5,4.1,7.16,72.85,0,0.0,10.5,0.7787999999999999,9.957142857142856,-3.148942857142858,0,0
92,22.0,1,0.2,6.3,5.8,6.8,76.4,91.1,10.0,2.3,6.2,4.9,2,1,2.3,9.7,7.43,43.64,1,0.0,12.6,0.0178,6.628571428571428,-2.5918714285714284,0,1
93,22.0,1,3.8,7.2,9.1,3.8,95.8,90.2,9.7,2.6,1.0,1.6,1,0,3.7,2.4,6.5,74.26,0,0.0,12.9,0.3723999999999999,7.571428571428571,1.6771714285714292,0,1
94,21.0,0,2.9,7.3,7.7,3.2,87.2,81.4,9.3,7.2,3.1,5.0,2,1,3.5,6.6,5.36,60.41,2,0.0,10.9,0.5393999999999998,8.32857142857143,-2.249471428571429,0,0
95,22.0,0,4.6,7.3,7.5,1.9,95.7,86.4,4.5,4.5,1.4,6.5,0,0,0.4,4.7,6.86,68.78,0,0.0,9.4,0.6255999999999995,7.942857142857143,-1.8744571428571444,0,0
96,20.0,1,4.4,7.9,8.4,4.6,56.7,65.5,6.9,4.3,5.2,7.5,0,0,5.0,4.8,3.71,45.1,1,0.0,13.0,1.518,8.514285714285714,0.0327142857142863,0,0
97,20.0,0,4.3,7.5,8.1,0.8,74.7,84.6,6.9,2.1,8.5,6.9,1,0,6.2,4.7,6.12,56.47,2,0.0,8.9,0.6622000000000001,7.8,-2.3667,0,1
98,19.0,0,5.2,8.0,8.7,3.6,100.0,46.8,7.0,3.7,6.1,5.0,1,0,5.6,10.5,9.06,59.47,2,0.0,12.3,2.7664000000000004,8.528571428571428,3.4310285714285715,0,1
99,16.0,1,1.8,7.6,11.3,2.2,100.0,75.4,5.9,2.4,6.8,7.8,1,1,4.1,6.9,7.09,54.87,2,0.0,13.5,0.4428,7.942857142857142,-2.9886571428571416,0,1
100,17.0,1,5.0,5.4,10.0,3.2,74.9,88.5,8.5,3.2,5.0,5.1,1,1,0.0,1.2,2.42,39.55,1,0.5999999999999996,13.2,0.575,5.857142857142858,4.255357142857142,0,1
101,16.0,2,3.3,7.4,7.2,3.9,74.7,62.1,5.2,0.2,5.5,10.0,0,0,5.2,10.1,4.18,53.76,2,0.0,11.1,1.2507,7.428571428571429,-2.362521428571428,0,0
102,21.0,0,4.6,6.3,4.9,0.9,88.9,77.6,6.7,5.0,1.6,6.8,0,0,2.2,3.3,7.0,68.87,0,0.0,5.800000000000001,1.0304000000000004,7.014285714285714,-2.2886857142857138,0,0
103,19.0,2,6.1,5.6,6.9,0.0,84.5,80.4,9.2,1.8,7.8,5.9,1,0,1.4,12.4,5.94,57.16,2,0.4000000000000003,6.9,1.1955999999999996,5.857142857142857,2.116257142857144,0,1
104,20.0,1,1.8,6.6,1.2,1.3,86.9,59.0,10.0,5.4,6.6,6.1,0,0,4.5,1.3,6.14,51.58,2,0.0,2.5,0.7380000000000001,7.371428571428571,-6.62442857142857,0,1
105,24.0,0,3.6,7.2,8.1,4.6,51.9,95.3,4.2,0.8,7.2,4.1,0,1,2.8,10.4,4.48,35.49,1,0.0,12.7,0.1692000000000001,7.314285714285714,0.1195142857142865,0,1
106,18.0,1,4.0,7.3,3.3,3.7,76.9,80.8,7.2,4.3,6.3,7.7,0,0,2.1,8.7,8.1,76.16,0,0.0,7.0,0.7680000000000002,7.914285714285714,-3.9122857142857135,0,1
107,19.0,1,3.2,8.4,8.8,2.3,90.5,44.8,7.0,1.2,4.5,4.3,0,0,7.1,0.8,7.21,48.46,2,0.0,11.1,1.7664000000000002,8.571428571428571,0.0381714285714296,0,0
108,22.0,0,6.0,8.7,11.0,6.5,49.4,76.6,8.7,3.0,6.6,8.3,0,0,3.5,7.0,9.52,55.31,2,0.0,17.5,1.4040000000000006,9.128571428571428,2.377428571428574,0,1
109,18.0,1,2.8,7.4,2.4,5.3,59.0,100.0,9.6,3.1,4.8,6.5,2,1,3.0,8.5,6.62,71.73,0,0.0,7.699999999999999,0.0,7.842857142857143,-5.002857142857144,0,0
110,17.0,1,3.1,7.7,5.9,4.9,56.9,74.9,5.3,1.6,5.3,4.2,1,1,5.9,4.7,2.41,42.97,1,0.0,10.8,0.7780999999999997,7.928571428571429,-0.9814214285714288,0,0
111,18.0,1,2.8,7.1,3.3,1.7,88.5,63.3,5.8,1.7,8.0,6.9,0,0,3.7,15.6,3.6,63.43,0,0.0,5.0,1.0275999999999998,7.3428571428571425,-4.511457142857143,0,1
112,18.0,1,6.4,8.0,1.7,4.9,67.9,65.2,6.2,3.4,7.7,4.5,0,0,5.4,4.7,8.84,59.11,2,0.0,6.6000000000000005,2.2272,8.485714285714286,1.0250857142857157,0,1
113,24.0,0,3.2,7.0,5.7,3.6,64.4,72.1,7.1,3.7,4.4,4.3,0,1,0.0,5.4,7.82,46.62,1,0.0,9.3,0.8928000000000001,7.528571428571428,-1.1293714285714276,0,0
114,23.0,0,5.1,6.9,7.6,1.7,80.7,53.2,6.0,1.8,6.3,6.4,1,0,0.0,4.2,7.08,55.13,2,0.0,9.3,2.3868,7.1571428571428575,1.9530571428571424,0,1
115,21.0,1,8.2,9.8,7.9,2.8,63.9,100.0,5.2,1.3,7.9,6.7,0,1,1.6,4.1,7.59,47.26,2,0.0,10.7,0.0,9.985714285714286,-1.4257142857142855,0,1
116,23.0,1,4.1,6.3,6.4,1.1,85.9,91.6,10.0,1.5,2.3,5.0,1,0,3.5,5.9,6.17,80.44,0,0.0,7.5,0.3444000000000002,6.514285714285714,-1.4676857142857145,0,0
117,20.0,1,6.4,8.9,1.8,1.7,100.0,94.4,2.0,1.6,5.8,5.0,0,1,6.9,8.1,6.99,65.54,0,0.0,3.5,0.3583999999999996,9.128571428571428,-4.220971428571428,0,0
118,18.0,0,7.5,5.2,6.3,0.9,75.2,47.9,3.4,2.8,5.8,5.2,0,0,0.2,10.1,5.12,26.93,1,0.7999999999999998,7.2,3.9075,5.6000000000000005,8.86125,0,1
119,24.0,1,6.3,8.1,2.3,4.7,54.7,77.3,7.3,1.8,1.8,7.3,0,0,0.6,7.1,5.26,64.98,0,0.0,7.0,1.4301,8.357142857142858,-1.3219928571428574,0,0
120,20.0,0,4.2,8.9,2.4,2.9,74.1,94.4,5.6,1.5,3.4,7.4,1,1,6.6,11.9,6.82,65.21,0,0.0,5.3,0.2351999999999997,9.114285714285714,-6.451485714285714,0,0
121,23.0,1,5.5,4.5,3.5,1.3,86.4,58.0,4.8,0.9,2.8,7.2,1,0,1.6,2.3,5.07,37.78,1,1.5,4.8,2.31,4.628571428571429,5.036428571428571,0,1
122,24.0,1,1.6,7.2,8.6,3.9,85.1,73.7,8.1,2.5,5.2,4.6,0,0,1.3,10.0,8.97,56.49,2,0.0,12.5,0.4208,7.557142857142857,-1.695942857142856,0,0
123,19.0,0,2.6,7.9,7.4,3.0,90.9,55.2,7.8,2.1,6.0,10.0,0,0,6.4,7.3,3.99,68.51,0,0.0,10.4,1.1647999999999998,8.200000000000001,-4.1728000000000005,0,1
124,17.0,0,3.0,7.3,6.8,4.9,72.3,90.0,8.7,4.7,2.4,1.0,1,0,0.0,3.1,10.0,74.12,0,0.0,11.7,0.2999999999999999,7.9714285714285715,0.2285714285714277,0,1
125,18.0,1,8.7,7.5,3.8,3.2,76.4,71.1,3.7,0.6,3.9,4.0,0,0,5.0,5.7,7.78,61.65,2,0.0,7.0,2.5143,7.585714285714285,4.645735714285713,0,1
126,19.0,0,2.6,7.2,5.0,3.0,48.1,73.3,7.8,2.7,5.1,7.1,0,0,6.8,13.4,4.68,45.33,1,0.0,8.0,0.6942,7.585714285714286,-4.014414285714286,0,0
